 3.98107171e+01 -1.47263271e+01  3.98107171e+01 -5.44534021e-02 
 4.16869383e+01 -1.47263268e+01  4.16869383e+01 -5.70197107e-02 
 4.36515832e+01 -1.47263265e+01  4.36515832e+01 -5.97069656e-02 
 4.57088190e+01 -1.47263262e+01  4.57088190e+01 -6.25208667e-02 
 4.78630092e+01 -1.47263258e+01  4.78630092e+01 -6.54673827e-02 
 5.01187234e+01 -1.47263254e+01  5.01187234e+01 -6.85527635e-02 
 5.24807460e+01 -1.47263249e+01  5.24807460e+01 -7.17835534e-02 
 5.49540874e+01 -1.47263244e+01  5.49540874e+01 -7.51666055e-02 
 5.75439937e+01 -1.47263239e+01  5.75439937e+01 -7.87090955e-02 
 6.02559586e+01 -1.47263233e+01  6.02559586e+01 -8.24185375e-02 
 6.30957344e+01 -1.47263226e+01  6.30957344e+01 -8.63027996e-02 
 6.60693448e+01 -1.47263219e+01  6.60693448e+01 -9.03701208e-02 
 6.91830971e+01 -1.47263211e+01  6.91830971e+01 -9.46291283e-02 
 7.24435960e+01 -1.47263202e+01  7.24435960e+01 -9.90888558e-02 
 7.58577575e+01 -1.47263193e+01  7.58577575e+01 -1.03758763e-01 
 7.94328235e+01 -1.47263182e+01  7.94328235e+01 -1.08648755e-01 
 8.31763771e+01 -1.47263171e+01  8.31763771e+01 -1.13769204e-01 
 8.70963590e+01 -1.47263158e+01  8.70963590e+01 -1.19130971e-01 
 9.12010839e+01 -1.47263145e+01  9.12010839e+01 -1.24745429e-01 
 9.54992586e+01 -1.47263129e+01  9.54992586e+01 -1.30624487e-01 
 1.00000000e+02 -1.47263113e+01  1.00000000e+02 -1.36780614e-01 
 1.04712855e+02 -1.47263095e+01  1.04712855e+02 -1.43226868e-01 
 1.09647820e+02 -1.47263075e+01  1.09647820e+02 -1.49976921e-01 
 1.14815362e+02 -1.47263053e+01  1.14815362e+02 -1.57045093e-01 
 1.20226443e+02 -1.47263029e+01  1.20226443e+02 -1.64446373e-01 
 1.25892541e+02 -1.47263003e+01  1.25892541e+02 -1.72196461e-01 
 1.31825674e+02 -1.47262974e+01  1.31825674e+02 -1.80311794e-01 
 1.38038426e+02 -1.47262942e+01  1.38038426e+02 -1.88809587e-01 
 1.44543977e+02 -1.47262908e+01  1.44543977e+02 -1.97707862e-01 
 1.51356125e+02 -1.47262870e+01  1.51356125e+02 -2.07025492e-01 
 1.58489319e+02 -1.47262828e+01  1.58489319e+02 -2.16782242e-01 
 1.65958691e+02 -1.47262783e+01  1.65958691e+02 -2.26998803e-01 
 1.73780083e+02 -1.47262733e+01  1.73780083e+02 -2.37696846e-01 
 1.81970086e+02 -1.47262678e+01  1.81970086e+02 -2.48899060e-01 
 1.90546072e+02 -1.47262618e+01  1.90546072e+02 -2.60629204e-01 
 1.99526231e+02 -1.47262552e+01  1.99526231e+02 -2.72912157e-01 
 2.08929613e+02 -1.47262479e+01  2.08929613e+02 -2.85773969e-01 
 2.18776162e+02 -1.47262400e+01  2.18776162e+02 -2.99241919e-01 
 2.29086765e+02 -1.47262313e+01  2.29086765e+02 -3.13344570e-01 
 2.39883292e+02 -1.47262218e+01  2.39883292e+02 -3.28111831e-01 
 2.51188643e+02 -1.47262113e+01  2.51188643e+02 -3.43575019e-01 
 2.63026799e+02 -1.47261999e+01  2.63026799e+02 -3.59766929e-01 
 2.75422870e+02 -1.47261873e+01  2.75422870e+02 -3.76721899e-01 
 2.88403150e+02 -1.47261736e+01  2.88403150e+02 -3.94475883e-01 
 3.01995172e+02 -1.47261584e+01  3.01995172e+02 -4.13066532e-01 
 3.16227766e+02 -1.47261419e+01  3.16227766e+02 -4.32533268e-01 
 3.31131121e+02 -1.47261237e+01  3.31131121e+02 -4.52917371e-01 
 3.46736850e+02 -1.47261038e+01  3.46736850e+02 -4.74262063e-01 
 3.63078055e+02 -1.47260820e+01  3.63078055e+02 -4.96612604e-01 
 3.80189396e+02 -1.47260580e+01  3.80189396e+02 -5.20016384e-01 
 3.98107171e+02 -1.47260318e+01  3.98107171e+02 -5.44523023e-01 
 4.16869383e+02 -1.47260030e+01  4.16869383e+02 -5.70184481e-01 
 4.36515832e+02 -1.47259715e+01  4.36515832e+02 -5.97055159e-01 
 4.57088190e+02 -1.47259369e+01  4.57088190e+02 -6.25192022e-01 
 4.78630092e+02 -1.47258989e+01  4.78630092e+02 -6.54654716e-01 
 5.01187234e+02 -1.47258573e+01  5.01187234e+02 -6.85505692e-01 
 5.24807460e+02 -1.47258117e+01  5.24807460e+02 -7.17810341e-01 
 5.49540874e+02 -1.47257617e+01  5.49540874e+02 -7.51637130e-01 
 5.75439937e+02 -1.47257069e+01  5.75439937e+02 -7.87057745e-01 
 6.02559586e+02 -1.47256467e+01  6.02559586e+02 -8.24147245e-01 
 6.30957344e+02 -1.47255808e+01  6.30957344e+02 -8.62984218e-01 
 6.60693448e+02 -1.47255085e+01  6.60693448e+02 -9.03650944e-01 
 6.91830971e+02 -1.47254293e+01  6.91830971e+02 -9.46233572e-01 
 7.24435960e+02 -1.47253424e+01  7.24435960e+02 -9.90822298e-01 
 7.58577575e+02 -1.47252471e+01  7.58577575e+02 -1.03751155e+00 
 7.94328235e+02 -1.47251426e+01  7.94328235e+02 -1.08640021e+00 
 8.31763771e+02 -1.47250281e+01  8.31763771e+02 -1.13759176e+00 
 8.70963590e+02 -1.47249025e+01  8.70963590e+02 -1.19119457e+00 
 9.12010839e+02 -1.47247647e+01  9.12010839e+02 -1.24732210e+00 
 9.54992586e+02 -1.47246137e+01  9.54992586e+02 -1.30609309e+00 
 1.00000000e+03 -1.47244482e+01  1.00000000e+03 -1.36763188e+00 
 1.04712855e+03 -1.47242667e+01  1.04712855e+03 -1.43206861e+00 
 1.09647820e+03 -1.47240677e+01  1.09647820e+03 -1.49953951e+00 
 1.14815362e+03 -1.47238494e+01  1.14815362e+03 -1.57018720e+00 
 1.20226443e+03 -1.47236102e+01  1.20226443e+03 -1.64416094e+00 
 1.25892541e+03 -1.47233479e+01  1.25892541e+03 -1.72161697e+00 
 1.31825674e+03 -1.47230602e+01  1.31825674e+03 -1.80271882e+00 
 1.38038426e+03 -1.47227449e+01  1.38038426e+03 -1.88763763e+00 
 1.44543977e+03 -1.47223992e+01  1.44543977e+03 -1.97655251e+00 
 1.51356125e+03 -1.47220201e+01  1.51356125e+03 -2.06965091e+00 
 1.58489319e+03 -1.47216045e+01  1.58489319e+03 -2.16712896e+00 
 1.65958691e+03 -1.47211489e+01  1.65958691e+03 -2.26919188e+00 
 1.73780083e+03 -1.47206494e+01  1.73780083e+03 -2.37605442e+00 
 1.81970086e+03 -1.47201017e+01  1.81970086e+03 -2.48794123e+00 
 1.90546072e+03 -1.47195013e+01  1.90546072e+03 -2.60508730e+00 
 1.99526231e+03 -1.47188430e+01  1.99526231e+03 -2.72773847e+00 
 2.08929613e+03 -1.47181214e+01  2.08929613e+03 -2.85615185e+00 
 2.18776162e+03 -1.47173303e+01  2.18776162e+03 -2.99059631e+00 
 2.29086765e+03 -1.47164630e+01  2.29086765e+03 -3.13135301e+00 
 2.39883292e+03 -1.47155122e+01  2.39883292e+03 -3.27871590e+00 
 2.51188643e+03 -1.47144700e+01  2.51188643e+03 -3.43299226e+00 
 2.63026799e+03 -1.47133275e+01  2.63026799e+03 -3.59450328e+00 
 2.75422870e+03 -1.47120752e+01  2.75422870e+03 -3.76358456e+00 
 2.88403150e+03 -1.47107024e+01  2.88403150e+03 -3.94058676e+00 
 3.01995172e+03 -1.47091977e+01  3.01995172e+03 -4.12587616e+00 
 3.16227766e+03 -1.47075485e+01  3.16227766e+03 -4.31983527e+00 
 3.31131121e+03 -1.47057409e+01  3.31131121e+03 -4.52286344e+00 
 3.46736850e+03 -1.47037598e+01  3.46736850e+03 -4.73537751e+00 
 3.63078055e+03 -1.47015886e+01  3.63078055e+03 -4.95781237e+00 
 3.80189396e+03 -1.46992092e+01  3.80189396e+03 -5.19062168e+00 
 3.98107171e+03 -1.46966018e+01  3.98107171e+03 -5.43427841e+00 
 4.16869383e+03 -1.46937447e+01  4.16869383e+03 -5.68927551e+00 
 4.36515832e+03 -1.46906141e+01  4.36515832e+03 -5.95612650e+00 
 4.57088190e+03 -1.46871842e+01  4.57088190e+03 -6.23536603e+00 
 4.78630092e+03 -1.46834266e+01  4.78630092e+03 -6.52755051e+00 
 5.01187234e+03 -1.46793103e+01  5.01187234e+03 -6.83325855e+00 
 5.24807460e+03 -1.46748014e+01  5.24807460e+03 -7.15309149e+00 
 5.49540874e+03 -1.46698631e+01  5.49540874e+03 -7.48767384e+00 
 5.75439937e+03 -1.46644549e+01  5.75439937e+03 -7.83765358e+00 
 6.02559586e+03 -1.46585329e+01  6.02559586e+03 -8.20370248e+00 
 6.30957344e+03 -1.46520491e+01  6.30957344e+03 -8.58651625e+00 
 6.60693448e+03 -1.46449511e+01  6.60693448e+03 -8.98681463e+00 
 6.91830971e+03 -1.46371820e+01  6.91830971e+03 -9.40534124e+00 
 7.24435960e+03 -1.46286798e+01  7.24435960e+03 -9.84286341e+00 
 7.58577575e+03 -1.46193769e+01  7.58577575e+03 -1.03001717e+01 
 7.94328235e+03 -1.46091999e+01  7.94328235e+03 -1.07780792e+01 
 8.31763771e+03 -1.45980692e+01  8.31763771e+03 -1.12774207e+01 
 8.70963590e+03 -1.45858982e+01  8.70963590e+03 -1.17990515e+01 
 9.12010839e+03 -1.45725932e+01  9.12010839e+03 -1.23438460e+01 
 9.54992586e+03 -1.45580524e+01  9.54992586e+03 -1.29126954e+01 
 1.00000000e+04 -1.45421662e+01  1.00000000e+04 -1.35065059e+01 
 1.04712855e+04 -1.45248156e+01  1.04712855e+04 -1.41261960e+01 
 1.09647820e+04 -1.45058727e+01  1.09647820e+04 -1.47726928e+01 
 1.14815362e+04 -1.44851993e+01  1.14815362e+04 -1.54469285e+01 
 1.20226443e+04 -1.44626472e+01  1.20226443e+04 -1.61498362e+01 
 1.25892541e+04 -1.44380569e+01  1.25892541e+04 -1.68823447e+01 
 1.31825674e+04 -1.44112578e+01  1.31825674e+04 -1.76453728e+01 
 1.38038426e+04 -1.43820675e+01  1.38038426e+04 -1.84398233e+01 
 1.44543977e+04 -1.43502913e+01  1.44543977e+04 -1.92665751e+01 
 1.51356125e+04 -1.43157222e+01  1.51356125e+04 -2.01264761e+01 
 1.58489319e+04 -1.42781408e+01  1.58489319e+04 -2.10203343e+01 
 1.65958691e+04 -1.42373149e+01  1.65958691e+04 -2.19489079e+01 
 1.73780083e+04 -1.41930000e+01  1.73780083e+04 -2.29128961e+01 
 1.81970086e+04 -1.41449393e+01  1.81970086e+04 -2.39129276e+01 
 1.90546072e+04 -1.40928643e+01  1.90546072e+04 -2.49495498e+01 
 1.99526231e+04 -1.40364956e+01  1.99526231e+04 -2.60232166e+01 
 2.08929613e+04 -1.39755439e+01  2.08929613e+04 -2.71342771e+01 
 2.18776162e+04 -1.39097110e+01  2.18776162e+04 -2.82829630e+01 
 2.29086765e+04 -1.38386916e+01  2.29086765e+04 -2.94693771e+01 
 2.39883292e+04 -1.37621750e+01  2.39883292e+04 -3.06934823e+01 
 2.51188643e+04 -1.36798474e+01  2.51188643e+04 -3.19550906e+01 
 2.63026799e+04 -1.35913945e+01  2.63026799e+04 -3.32538546e+01 
 2.75422870e+04 -1.34965041e+01  2.75422870e+04 -3.45892594e+01 
 2.88403150e+04 -1.33948693e+01  2.88403150e+04 -3.59606175e+01 
 3.01995172e+04 -1.32861918e+01  3.01995172e+04 -3.73670652e+01 
 3.16227766e+04 -1.31701857e+01  3.16227766e+04 -3.88075625e+01 
 3.31131121e+04 -1.30465812e+01  3.31131121e+04 -4.02808958e+01 
 3.46736850e+04 -1.29151278e+01  3.46736850e+04 -4.17856838e+01 
 3.63078055e+04 -1.27755992e+01  3.63078055e+04 -4.33203875e+01 
 3.80189396e+04 -1.26277959e+01  3.80189396e+04 -4.48833231e+01 
 3.98107171e+04 -1.24715493e+01  3.98107171e+04 -4.64726791e+01 
 4.16869383e+04 -1.23067249e+01  4.16869383e+04 -4.80865361e+01 
 4.36515832e+04 -1.21332250e+01  4.36515832e+04 -4.97228906e+01 
 4.57088190e+04 -1.19509906e+01  4.57088190e+04 -5.13796804e+01 
 4.78630092e+04 -1.17600043e+01  4.78630092e+04 -5.30548126e+01 
 5.01187234e+04 -1.15602903e+01  5.01187234e+04 -5.47461929e+01 
 5.24807460e+04 -1.13519157e+01  5.24807460e+04 -5.64517554e+01 
 5.49540874e+04 -1.11349905e+01  5.49540874e+04 -5.81694923e+01 
 5.75439937e+04 -1.09096664e+01  5.75439937e+04 -5.98974830e+01 
 6.02559586e+04 -1.06761360e+01  6.02559586e+04 -6.16339207e+01 
 6.30957344e+04 -1.04346309e+01  6.30957344e+04 -6.33771380e+01 
 6.60693448e+04 -1.01854196e+01  6.60693448e+04 -6.51256282e+01 
 6.91830971e+04 -9.92880446e+00  6.91830971e+04 -6.68780645e+01 
 7.24435960e+04 -9.66511941e+00  7.24435960e+04 -6.86333149e+01 
 7.58577575e+04 -9.39472655e+00  7.58577575e+04 -7.03904532e+01 
 7.94328235e+04 -9.11801313e+00  7.94328235e+04 -7.21487661e+01 
 8.31763771e+04 -8.83538850e+00  8.31763771e+04 -7.39077572e+01 
 8.70963590e+04 -8.54728102e+00  8.70963590e+04 -7.56671461e+01 
 9.12010839e+04 -8.25413529e+00  9.12010839e+04 -7.74268647e+01 
 9.54992586e+04 -7.95640949e+00  9.54992586e+04 -7.91870503e+01 
 1.00000000e+05 -7.65457300e+00  1.00000000e+05 -8.09480358e+01 
 1.04712855e+05 -7.34910436e+00  1.04712855e+05 -8.27103369e+01 
 1.09647820e+05 -7.04048947e+00  1.09647820e+05 -8.44746381e+01 
 1.14815362e+05 -6.72922006e+00  1.14815362e+05 -8.62417760e+01 
 1.20226443e+05 -6.41579257e+00  1.20226443e+05 -8.80127216e+01 
 1.25892541e+05 -6.10070713e+00  1.25892541e+05 -8.97885610e+01 
 1.31825674e+05 -5.78446685e+00  1.31825674e+05 -9.15704760e+01 
 1.38038426e+05 -5.46757732e+00  1.38038426e+05 -9.33597228e+01 
 1.44543977e+05 -5.15054621e+00  1.44543977e+05 -9.51576114e+01 
 1.51356125e+05 -4.83388295e+00  1.51356125e+05 -9.69654839e+01 
 1.58489319e+05 -4.51809852e+00  1.58489319e+05 -9.87846929e+01 
 1.65958691e+05 -4.20370516e+00  1.65958691e+05 -1.00616580e+02 
 1.73780083e+05 -3.89121612e+00  1.73780083e+05 -1.02462456e+02 
 1.81970086e+05 -3.58114519e+00  1.81970086e+05 -1.04323576e+02 
 1.90546072e+05 -3.27400617e+00  1.90546072e+05 -1.06201124e+02 
 1.99526231e+05 -2.97031210e+00  1.99526231e+05 -1.08096191e+02 
 2.08929613e+05 -2.67057431e+00  2.08929613e+05 -1.10009756e+02 
 2.18776162e+05 -2.37530116e+00  2.18776162e+05 -1.11942671e+02 
 2.29086765e+05 -2.08499659e+00  2.29086765e+05 -1.13895644e+02 
 2.39883292e+05 -1.80015832e+00  2.39883292e+05 -1.15869226e+02 
 2.51188643e+05 -1.52127585e+00  2.51188643e+05 -1.17863800e+02 
 2.63026799e+05 -1.24882815e+00  2.63026799e+05 -1.19879573e+02 
 2.75422870e+05 -9.83281255e-01  2.75422870e+05 -1.21916569e+02 
