corner,vocm,id_m1,id_m5p,id_m6p,gain_db,gbw,pm,vod_step,sr,sr_fall
typ,8.992091e-01,7.488129e-05,,,4.279604e+01,8.073653e+07,8.124062e+01,-1.00970e+00,6.595396e+07,6.616111e+07
ss_tl_vl,4.193715e-01,2.523668e-05,,,-8.18402e+01,,,-9.29427e-01,7.228884e+07,1.248171e+08
ss_th_vl,2.188325e-01,9.230507e-05,,,3.695736e+00,1.308219e+07,1.634333e+02,-8.41983e-01,4.513476e+07,4.522249e+07
ss_th_vh,1.088466e+00,4.443303e-05,,,3.859495e+00,1.383565e+07,1.654607e+02,-8.41983e-01,4.513476e+07,4.522249e+07
ff_tl_vl,6.688170e-01,1.170606e-04,,,3.791831e+01,3.485858e+07,8.323086e+01,-1.07889e+00,7.726097e+07,1.137244e+08
ff_tl_vh,1.723920e+00,3.815448e-05,,,5.273014e+01,3.748147e+07,8.701412e+01,-1.07889e+00,7.726097e+07,1.137244e+08
ff_th_vh,1.086088e+00,4.898158e-05,,,2.894186e+00,1.064323e+07,1.502177e+02,-9.69171e-01,4.776242e+07,8.653256e+07
sf_tt_vt,8.852984e-01,7.529429e-05,,,-1.80510e+02,,,-1.12106e+00,7.556671e+07,1.098891e+08
fs_tt_vt,6.599642e-01,6.699141e-05,,,3.704254e+01,6.499364e+07,8.011647e+01,-7.98856e-01,4.928837e+07,5.237344e+07
